nazev,rok,zeme
To neznáte Hadimršku,1931,Československo
"Anton Špelec, ostrostřelec",1932,Československo
Falešná kočička,1937,Československo
Ducháček to zařídí,1938,Československo
Katakomby,1940,Protektorát Čechy a Morava
Pyšná princezna,1952,Československo
Prázdniny v Římě,1953,USA
Byl jednou jeden král...,1954,Československo
Dobrý voják Švejk,1956,Československo
Někdo to rád horké,1959,USA
Dařbuján a Pandrhola,1959,Československo
Princezna se zlatou hvězdou,1959,Československo
O medvědu Ondřejovi,1959,Československo
Král Králů,1963,Československo
Mrazík,1964,Sovětský svaz
Bohouš,1968,Československo
Šíleně smutná princezna,1968,Československo
Princ Bajaja,1971,Československo
Tři oříšky pro Popelku,1973,Československo / Východní Německo
Zlatovláska,1973,Československo
Na samotě u lesa,1976,Československo
"Dalskabáty, hříšná ves aneb Zapomenutý čert",1976,Československo
Jak se budí princezny,1977,Československo
Adéla ještě nevečeřela,1978,Československo
Panna a netvor,1978,Československo
Princ a Večernice,1978,Československo
Silvestr svobodného pána,1979,Československo
Princové jsou na draka,1980,Československo
Kotva u přívozu,1980,Československo
S tebou mě baví svět,1982,Československo
Třetí princ,1982,Československo
S čerty nejsou žerty,1984,Československo
"Co takhle svatba, princi?",1986,Československo
Chobotnice z II. patra,1986,Československo / Západní Německo
Veselé Vánoce přejí chobotnice,1986,Československo / Západní Německo
O princezně Jasněnce a létajícím ševci,1987,Československo
Cesta do Ameriky,1988,USA
Nebojsa,1988,Československo
"Ať přiletí čáp, královno!",1988,Československo
Sám doma,1990,USA
Pretty Woman,1990,USA
Sám doma 2: Ztracen v New Yorku,1992,USA
Nesmrtelná teta,1993,Česko
Skála,1996,USA
"Rolničky, kam se podíváš",1996,USA
Dunston: Sám v hotelu,1996,USA
RumplCimprCampr,1997,Česko
Pták Ohnivák,1997,Česko / Německo
Císař a tambor,1998,Česko
Dr. Dolittle,1998,USA
"Šmankote, babičko, čaruj!",1998,Česko
Pelíšky,1999,Česko
Z pekla štěstí,1999,Česko
Grinch,2000,USA / Německo
Shrek,2001,USA
Dr. Dolittle 2,2001,USA
Z pekla štěstí 2,2001,Česko
Láska nebeská,2003,Velká Británie / USA / Francie
Shrek 2,2004,USA
Anděl Páně,2005,Česko
O kominickém učni a dceři cukráře,2007,Česko
Nejkrásnější hádanka,2008,Česko
Láska rohatá,2009,Česko
Duch nad zlato,2013,Česko
Tři bratři,2014,Česko / Dánsko
